has,prefers,count
"BC018860|?_calculated_n","BC018860|?_calculated_n",0
"BC018860|?_calculated_n","STRF6|?_calculated_n",0
"BC018860|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"BC018860|?_calculated_n","cytochrome_b|?_calculated_n",0
"BC018860|?_calculated_n","JA040725|?_calculated_n",0
"BC018860|?_calculated_n","TVAS5|?_calculated_n",0
"BC018860|?_calculated_n","AD_1|?_calculated_n",0
"BC018860|?_calculated_n","JA040723|?_calculated_n",0
"BC018860|?_calculated_n","MT-ND5|4540_calculated_n",0
"BC018860|?_calculated_n","ACTB|60_calculated_n",0
"STRF6|?_calculated_n","BC018860|?_calculated_n",0
"STRF6|?_calculated_n","STRF6|?_calculated_n",0
"STRF6|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"STRF6|?_calculated_n","cytochrome_b|?_calculated_n",0
"STRF6|?_calculated_n","JA040725|?_calculated_n",0
"STRF6|?_calculated_n","TVAS5|?_calculated_n",0
"STRF6|?_calculated_n","AD_1|?_calculated_n",0
"STRF6|?_calculated_n","JA040723|?_calculated_n",0
"STRF6|?_calculated_n","MT-ND5|4540_calculated_n",0
"STRF6|?_calculated_n","ACTB|60_calculated_n",0
"OK/SW-cl.16|?_calculated_n","BC018860|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","STRF6|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","cytochrome_b|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","JA040725|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","TVAS5|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","AD_1|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","JA040723|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","MT-ND5|4540_calculated_n",0
"OK/SW-cl.16|?_calculated_n","ACTB|60_calculated_n",0
"cytochrome_b|?_calculated_n","BC018860|?_calculated_n",0
"cytochrome_b|?_calculated_n","STRF6|?_calculated_n",0
"cytochrome_b|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"cytochrome_b|?_calculated_n","cytochrome_b|?_calculated_n",0
"cytochrome_b|?_calculated_n","JA040725|?_calculated_n",0
"cytochrome_b|?_calculated_n","TVAS5|?_calculated_n",0
"cytochrome_b|?_calculated_n","AD_1|?_calculated_n",0
"cytochrome_b|?_calculated_n","JA040723|?_calculated_n",0
"cytochrome_b|?_calculated_n","MT-ND5|4540_calculated_n",0
"cytochrome_b|?_calculated_n","ACTB|60_calculated_n",0
"JA040725|?_calculated_n","BC018860|?_calculated_n",0
"JA040725|?_calculated_n","STRF6|?_calculated_n",0
"JA040725|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"JA040725|?_calculated_n","cytochrome_b|?_calculated_n",0
"JA040725|?_calculated_n","JA040725|?_calculated_n",0
"JA040725|?_calculated_n","TVAS5|?_calculated_n",0
"JA040725|?_calculated_n","AD_1|?_calculated_n",0
"JA040725|?_calculated_n","JA040723|?_calculated_n",0
"JA040725|?_calculated_n","MT-ND5|4540_calculated_n",0
"JA040725|?_calculated_n","ACTB|60_calculated_n",0
"TVAS5|?_calculated_n","BC018860|?_calculated_n",0
"TVAS5|?_calculated_n","STRF6|?_calculated_n",0
"TVAS5|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"TVAS5|?_calculated_n","cytochrome_b|?_calculated_n",0
"TVAS5|?_calculated_n","JA040725|?_calculated_n",0
"TVAS5|?_calculated_n","TVAS5|?_calculated_n",0
"TVAS5|?_calculated_n","AD_1|?_calculated_n",0
"TVAS5|?_calculated_n","JA040723|?_calculated_n",0
"TVAS5|?_calculated_n","MT-ND5|4540_calculated_n",0
"TVAS5|?_calculated_n","ACTB|60_calculated_n",0
"AD_1|?_calculated_n","BC018860|?_calculated_n",0
"AD_1|?_calculated_n","STRF6|?_calculated_n",0
"AD_1|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"AD_1|?_calculated_n","cytochrome_b|?_calculated_n",0
"AD_1|?_calculated_n","JA040725|?_calculated_n",0
"AD_1|?_calculated_n","TVAS5|?_calculated_n",0
"AD_1|?_calculated_n","AD_1|?_calculated_n",0
"AD_1|?_calculated_n","JA040723|?_calculated_n",0
"AD_1|?_calculated_n","MT-ND5|4540_calculated_n",0
"AD_1|?_calculated_n","ACTB|60_calculated_n",0
"JA040723|?_calculated_n","BC018860|?_calculated_n",0
"JA040723|?_calculated_n","STRF6|?_calculated_n",0
"JA040723|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"JA040723|?_calculated_n","cytochrome_b|?_calculated_n",0
"JA040723|?_calculated_n","JA040725|?_calculated_n",0
"JA040723|?_calculated_n","TVAS5|?_calculated_n",0
"JA040723|?_calculated_n","AD_1|?_calculated_n",0
"JA040723|?_calculated_n","JA040723|?_calculated_n",0
"JA040723|?_calculated_n","MT-ND5|4540_calculated_n",0
"JA040723|?_calculated_n","ACTB|60_calculated_n",0
"MT-ND5|4540_calculated_n","BC018860|?_calculated_n",0
"MT-ND5|4540_calculated_n","STRF6|?_calculated_n",0
"MT-ND5|4540_calculated_n","OK/SW-cl.16|?_calculated_n",0
"MT-ND5|4540_calculated_n","cytochrome_b|?_calculated_n",0
"MT-ND5|4540_calculated_n","JA040725|?_calculated_n",0
"MT-ND5|4540_calculated_n","TVAS5|?_calculated_n",0
"MT-ND5|4540_calculated_n","AD_1|?_calculated_n",0
"MT-ND5|4540_calculated_n","JA040723|?_calculated_n",0
"MT-ND5|4540_calculated_n","MT-ND5|4540_calculated_n",0
"MT-ND5|4540_calculated_n","ACTB|60_calculated_n",0
"ACTB|60_calculated_n","BC018860|?_calculated_n",0
"ACTB|60_calculated_n","STRF6|?_calculated_n",0
"ACTB|60_calculated_n","OK/SW-cl.16|?_calculated_n",0
"ACTB|60_calculated_n","cytochrome_b|?_calculated_n",0
"ACTB|60_calculated_n","JA040725|?_calculated_n",0
"ACTB|60_calculated_n","TVAS5|?_calculated_n",0
"ACTB|60_calculated_n","AD_1|?_calculated_n",0
"ACTB|60_calculated_n","JA040723|?_calculated_n",0
"ACTB|60_calculated_n","MT-ND5|4540_calculated_n",0
"ACTB|60_calculated_n","ACTB|60_calculated_n",0
"GAPDH|2597_calculated_t","GAPDH|2597_calculated_t",0
"GAPDH|2597_calculated_t","ACTB|60_calculated_t",0
"GAPDH|2597_calculated_t","JA040723|?_calculated_t",0
"GAPDH|2597_calculated_t","AD_1|?_calculated_t",0
"GAPDH|2597_calculated_t","cytochrome_b|?_calculated_t",0
"GAPDH|2597_calculated_t","TVAS5|?_calculated_t",0
"GAPDH|2597_calculated_t","JA040725|?_calculated_t",0
"GAPDH|2597_calculated_t","OK/SW-cl.16|?_calculated_t",0
"GAPDH|2597_calculated_t","STRF6|?_calculated_t",0
"GAPDH|2597_calculated_t","BC018860|?_calculated_t",0
"ACTB|60_calculated_t","GAPDH|2597_calculated_t",0
"ACTB|60_calculated_t","ACTB|60_calculated_t",0
"ACTB|60_calculated_t","JA040723|?_calculated_t",0
"ACTB|60_calculated_t","AD_1|?_calculated_t",0
"ACTB|60_calculated_t","cytochrome_b|?_calculated_t",0
"ACTB|60_calculated_t","TVAS5|?_calculated_t",0
"ACTB|60_calculated_t","JA040725|?_calculated_t",0
"ACTB|60_calculated_t","OK/SW-cl.16|?_calculated_t",0
"ACTB|60_calculated_t","STRF6|?_calculated_t",0
"ACTB|60_calculated_t","BC018860|?_calculated_t",0
"JA040723|?_calculated_t","GAPDH|2597_calculated_t",0
"JA040723|?_calculated_t","ACTB|60_calculated_t",0
"JA040723|?_calculated_t","JA040723|?_calculated_t",0
"JA040723|?_calculated_t","AD_1|?_calculated_t",0
"JA040723|?_calculated_t","cytochrome_b|?_calculated_t",0
"JA040723|?_calculated_t","TVAS5|?_calculated_t",0
"JA040723|?_calculated_t","JA040725|?_calculated_t",0
"JA040723|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"JA040723|?_calculated_t","STRF6|?_calculated_t",0
"JA040723|?_calculated_t","BC018860|?_calculated_t",0
"AD_1|?_calculated_t","GAPDH|2597_calculated_t",0
"AD_1|?_calculated_t","ACTB|60_calculated_t",0
"AD_1|?_calculated_t","JA040723|?_calculated_t",0
"AD_1|?_calculated_t","AD_1|?_calculated_t",0
"AD_1|?_calculated_t","cytochrome_b|?_calculated_t",0
"AD_1|?_calculated_t","TVAS5|?_calculated_t",0
"AD_1|?_calculated_t","JA040725|?_calculated_t",0
"AD_1|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"AD_1|?_calculated_t","STRF6|?_calculated_t",0
"AD_1|?_calculated_t","BC018860|?_calculated_t",0
"cytochrome_b|?_calculated_t","GAPDH|2597_calculated_t",0
"cytochrome_b|?_calculated_t","ACTB|60_calculated_t",0
"cytochrome_b|?_calculated_t","JA040723|?_calculated_t",0
"cytochrome_b|?_calculated_t","AD_1|?_calculated_t",0
"cytochrome_b|?_calculated_t","cytochrome_b|?_calculated_t",0
"cytochrome_b|?_calculated_t","TVAS5|?_calculated_t",0
"cytochrome_b|?_calculated_t","JA040725|?_calculated_t",0
"cytochrome_b|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"cytochrome_b|?_calculated_t","STRF6|?_calculated_t",0
"cytochrome_b|?_calculated_t","BC018860|?_calculated_t",0
"TVAS5|?_calculated_t","GAPDH|2597_calculated_t",0
"TVAS5|?_calculated_t","ACTB|60_calculated_t",0
"TVAS5|?_calculated_t","JA040723|?_calculated_t",0
"TVAS5|?_calculated_t","AD_1|?_calculated_t",0
"TVAS5|?_calculated_t","cytochrome_b|?_calculated_t",0
"TVAS5|?_calculated_t","TVAS5|?_calculated_t",0
"TVAS5|?_calculated_t","JA040725|?_calculated_t",0
"TVAS5|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"TVAS5|?_calculated_t","STRF6|?_calculated_t",0
"TVAS5|?_calculated_t","BC018860|?_calculated_t",0
"JA040725|?_calculated_t","GAPDH|2597_calculated_t",0
"JA040725|?_calculated_t","ACTB|60_calculated_t",0
"JA040725|?_calculated_t","JA040723|?_calculated_t",0
"JA040725|?_calculated_t","AD_1|?_calculated_t",0
"JA040725|?_calculated_t","cytochrome_b|?_calculated_t",0
"JA040725|?_calculated_t","TVAS5|?_calculated_t",0
"JA040725|?_calculated_t","JA040725|?_calculated_t",0
"JA040725|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"JA040725|?_calculated_t","STRF6|?_calculated_t",0
"JA040725|?_calculated_t","BC018860|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","GAPDH|2597_calculated_t",0
"OK/SW-cl.16|?_calculated_t","ACTB|60_calculated_t",0
"OK/SW-cl.16|?_calculated_t","JA040723|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","AD_1|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","cytochrome_b|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","TVAS5|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","JA040725|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","STRF6|?_calculated_t",0
"OK/SW-cl.16|?_calculated_t","BC018860|?_calculated_t",0
"STRF6|?_calculated_t","GAPDH|2597_calculated_t",0
"STRF6|?_calculated_t","ACTB|60_calculated_t",0
"STRF6|?_calculated_t","JA040723|?_calculated_t",0
"STRF6|?_calculated_t","AD_1|?_calculated_t",0
"STRF6|?_calculated_t","cytochrome_b|?_calculated_t",0
"STRF6|?_calculated_t","TVAS5|?_calculated_t",0
"STRF6|?_calculated_t","JA040725|?_calculated_t",0
"STRF6|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"STRF6|?_calculated_t","STRF6|?_calculated_t",0
"STRF6|?_calculated_t","BC018860|?_calculated_t",0
"BC018860|?_calculated_t","GAPDH|2597_calculated_t",0
"BC018860|?_calculated_t","ACTB|60_calculated_t",0
"BC018860|?_calculated_t","JA040723|?_calculated_t",0
"BC018860|?_calculated_t","AD_1|?_calculated_t",0
"BC018860|?_calculated_t","cytochrome_b|?_calculated_t",0
"BC018860|?_calculated_t","TVAS5|?_calculated_t",0
"BC018860|?_calculated_t","JA040725|?_calculated_t",0
"BC018860|?_calculated_t","OK/SW-cl.16|?_calculated_t",0
"BC018860|?_calculated_t","STRF6|?_calculated_t",0
"BC018860|?_calculated_t","BC018860|?_calculated_t",0
"BC018860|?_calculated_n","GAPDH|2597_calculated_t",0
"BC018860|?_calculated_n","ACTB|60_calculated_t",0
"BC018860|?_calculated_n","JA040723|?_calculated_t",0
"BC018860|?_calculated_n","AD_1|?_calculated_t",0
"BC018860|?_calculated_n","cytochrome_b|?_calculated_t",0
"BC018860|?_calculated_n","TVAS5|?_calculated_t",0
"BC018860|?_calculated_n","JA040725|?_calculated_t",0
"BC018860|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"BC018860|?_calculated_n","STRF6|?_calculated_t",0
"BC018860|?_calculated_n","BC018860|?_calculated_t",1
"STRF6|?_calculated_n","GAPDH|2597_calculated_t",0
"STRF6|?_calculated_n","ACTB|60_calculated_t",0
"STRF6|?_calculated_n","JA040723|?_calculated_t",0
"STRF6|?_calculated_n","AD_1|?_calculated_t",0
"STRF6|?_calculated_n","cytochrome_b|?_calculated_t",0
"STRF6|?_calculated_n","TVAS5|?_calculated_t",0
"STRF6|?_calculated_n","JA040725|?_calculated_t",0
"STRF6|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"STRF6|?_calculated_n","STRF6|?_calculated_t",1
"STRF6|?_calculated_n","BC018860|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","GAPDH|2597_calculated_t",0
"OK/SW-cl.16|?_calculated_n","ACTB|60_calculated_t",0
"OK/SW-cl.16|?_calculated_n","JA040723|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","AD_1|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","cytochrome_b|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","TVAS5|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","JA040725|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","OK/SW-cl.16|?_calculated_t",1
"OK/SW-cl.16|?_calculated_n","STRF6|?_calculated_t",0
"OK/SW-cl.16|?_calculated_n","BC018860|?_calculated_t",0
"cytochrome_b|?_calculated_n","GAPDH|2597_calculated_t",0
"cytochrome_b|?_calculated_n","ACTB|60_calculated_t",0
"cytochrome_b|?_calculated_n","JA040723|?_calculated_t",0
"cytochrome_b|?_calculated_n","AD_1|?_calculated_t",0
"cytochrome_b|?_calculated_n","cytochrome_b|?_calculated_t",1
"cytochrome_b|?_calculated_n","TVAS5|?_calculated_t",0
"cytochrome_b|?_calculated_n","JA040725|?_calculated_t",0
"cytochrome_b|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"cytochrome_b|?_calculated_n","STRF6|?_calculated_t",0
"cytochrome_b|?_calculated_n","BC018860|?_calculated_t",0
"JA040725|?_calculated_n","GAPDH|2597_calculated_t",0
"JA040725|?_calculated_n","ACTB|60_calculated_t",0
"JA040725|?_calculated_n","JA040723|?_calculated_t",0
"JA040725|?_calculated_n","AD_1|?_calculated_t",0
"JA040725|?_calculated_n","cytochrome_b|?_calculated_t",0
"JA040725|?_calculated_n","TVAS5|?_calculated_t",0
"JA040725|?_calculated_n","JA040725|?_calculated_t",1
"JA040725|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"JA040725|?_calculated_n","STRF6|?_calculated_t",0
"JA040725|?_calculated_n","BC018860|?_calculated_t",0
"TVAS5|?_calculated_n","GAPDH|2597_calculated_t",0
"TVAS5|?_calculated_n","ACTB|60_calculated_t",0
"TVAS5|?_calculated_n","JA040723|?_calculated_t",0
"TVAS5|?_calculated_n","AD_1|?_calculated_t",0
"TVAS5|?_calculated_n","cytochrome_b|?_calculated_t",0
"TVAS5|?_calculated_n","TVAS5|?_calculated_t",1
"TVAS5|?_calculated_n","JA040725|?_calculated_t",0
"TVAS5|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"TVAS5|?_calculated_n","STRF6|?_calculated_t",0
"TVAS5|?_calculated_n","BC018860|?_calculated_t",0
"AD_1|?_calculated_n","GAPDH|2597_calculated_t",0
"AD_1|?_calculated_n","ACTB|60_calculated_t",0
"AD_1|?_calculated_n","JA040723|?_calculated_t",0
"AD_1|?_calculated_n","AD_1|?_calculated_t",1
"AD_1|?_calculated_n","cytochrome_b|?_calculated_t",0
"AD_1|?_calculated_n","TVAS5|?_calculated_t",0
"AD_1|?_calculated_n","JA040725|?_calculated_t",0
"AD_1|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"AD_1|?_calculated_n","STRF6|?_calculated_t",0
"AD_1|?_calculated_n","BC018860|?_calculated_t",0
"JA040723|?_calculated_n","GAPDH|2597_calculated_t",0
"JA040723|?_calculated_n","ACTB|60_calculated_t",0
"JA040723|?_calculated_n","JA040723|?_calculated_t",1
"JA040723|?_calculated_n","AD_1|?_calculated_t",0
"JA040723|?_calculated_n","cytochrome_b|?_calculated_t",0
"JA040723|?_calculated_n","TVAS5|?_calculated_t",0
"JA040723|?_calculated_n","JA040725|?_calculated_t",0
"JA040723|?_calculated_n","OK/SW-cl.16|?_calculated_t",0
"JA040723|?_calculated_n","STRF6|?_calculated_t",0
"JA040723|?_calculated_n","BC018860|?_calculated_t",0
"MT-ND5|4540_calculated_n","GAPDH|2597_calculated_t",0
"MT-ND5|4540_calculated_n","ACTB|60_calculated_t",0
"MT-ND5|4540_calculated_n","JA040723|?_calculated_t",0
"MT-ND5|4540_calculated_n","AD_1|?_calculated_t",0
"MT-ND5|4540_calculated_n","cytochrome_b|?_calculated_t",0
"MT-ND5|4540_calculated_n","TVAS5|?_calculated_t",0
"MT-ND5|4540_calculated_n","JA040725|?_calculated_t",0
"MT-ND5|4540_calculated_n","OK/SW-cl.16|?_calculated_t",0
"MT-ND5|4540_calculated_n","STRF6|?_calculated_t",0
"MT-ND5|4540_calculated_n","BC018860|?_calculated_t",0
"ACTB|60_calculated_n","GAPDH|2597_calculated_t",0
"ACTB|60_calculated_n","ACTB|60_calculated_t",1
"ACTB|60_calculated_n","JA040723|?_calculated_t",0
"ACTB|60_calculated_n","AD_1|?_calculated_t",0
"ACTB|60_calculated_n","cytochrome_b|?_calculated_t",0
"ACTB|60_calculated_n","TVAS5|?_calculated_t",0
"ACTB|60_calculated_n","JA040725|?_calculated_t",0
"ACTB|60_calculated_n","OK/SW-cl.16|?_calculated_t",0
"ACTB|60_calculated_n","STRF6|?_calculated_t",0
"ACTB|60_calculated_n","BC018860|?_calculated_t",0
"GAPDH|2597_calculated_t","BC018860|?_calculated_n",0
"GAPDH|2597_calculated_t","STRF6|?_calculated_n",0
"GAPDH|2597_calculated_t","OK/SW-cl.16|?_calculated_n",0
"GAPDH|2597_calculated_t","cytochrome_b|?_calculated_n",0
"GAPDH|2597_calculated_t","JA040725|?_calculated_n",0
"GAPDH|2597_calculated_t","TVAS5|?_calculated_n",0
"GAPDH|2597_calculated_t","AD_1|?_calculated_n",0
"GAPDH|2597_calculated_t","JA040723|?_calculated_n",0
"GAPDH|2597_calculated_t","MT-ND5|4540_calculated_n",0
"GAPDH|2597_calculated_t","ACTB|60_calculated_n",0
"ACTB|60_calculated_t","BC018860|?_calculated_n",0
"ACTB|60_calculated_t","STRF6|?_calculated_n",0
"ACTB|60_calculated_t","OK/SW-cl.16|?_calculated_n",0
"ACTB|60_calculated_t","cytochrome_b|?_calculated_n",0
"ACTB|60_calculated_t","JA040725|?_calculated_n",0
"ACTB|60_calculated_t","TVAS5|?_calculated_n",0
"ACTB|60_calculated_t","AD_1|?_calculated_n",0
"ACTB|60_calculated_t","JA040723|?_calculated_n",0
"ACTB|60_calculated_t","MT-ND5|4540_calculated_n",0
"ACTB|60_calculated_t","ACTB|60_calculated_n",1
"JA040723|?_calculated_t","BC018860|?_calculated_n",0
"JA040723|?_calculated_t","STRF6|?_calculated_n",0
"JA040723|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"JA040723|?_calculated_t","cytochrome_b|?_calculated_n",0
"JA040723|?_calculated_t","JA040725|?_calculated_n",0
"JA040723|?_calculated_t","TVAS5|?_calculated_n",0
"JA040723|?_calculated_t","AD_1|?_calculated_n",0
"JA040723|?_calculated_t","JA040723|?_calculated_n",1
"JA040723|?_calculated_t","MT-ND5|4540_calculated_n",0
"JA040723|?_calculated_t","ACTB|60_calculated_n",0
"AD_1|?_calculated_t","BC018860|?_calculated_n",0
"AD_1|?_calculated_t","STRF6|?_calculated_n",0
"AD_1|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"AD_1|?_calculated_t","cytochrome_b|?_calculated_n",0
"AD_1|?_calculated_t","JA040725|?_calculated_n",0
"AD_1|?_calculated_t","TVAS5|?_calculated_n",0
"AD_1|?_calculated_t","AD_1|?_calculated_n",1
"AD_1|?_calculated_t","JA040723|?_calculated_n",0
"AD_1|?_calculated_t","MT-ND5|4540_calculated_n",0
"AD_1|?_calculated_t","ACTB|60_calculated_n",0
"cytochrome_b|?_calculated_t","BC018860|?_calculated_n",0
"cytochrome_b|?_calculated_t","STRF6|?_calculated_n",0
"cytochrome_b|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"cytochrome_b|?_calculated_t","cytochrome_b|?_calculated_n",1
"cytochrome_b|?_calculated_t","JA040725|?_calculated_n",0
"cytochrome_b|?_calculated_t","TVAS5|?_calculated_n",0
"cytochrome_b|?_calculated_t","AD_1|?_calculated_n",0
"cytochrome_b|?_calculated_t","JA040723|?_calculated_n",0
"cytochrome_b|?_calculated_t","MT-ND5|4540_calculated_n",0
"cytochrome_b|?_calculated_t","ACTB|60_calculated_n",0
"TVAS5|?_calculated_t","BC018860|?_calculated_n",0
"TVAS5|?_calculated_t","STRF6|?_calculated_n",0
"TVAS5|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"TVAS5|?_calculated_t","cytochrome_b|?_calculated_n",0
"TVAS5|?_calculated_t","JA040725|?_calculated_n",0
"TVAS5|?_calculated_t","TVAS5|?_calculated_n",1
"TVAS5|?_calculated_t","AD_1|?_calculated_n",0
"TVAS5|?_calculated_t","JA040723|?_calculated_n",0
"TVAS5|?_calculated_t","MT-ND5|4540_calculated_n",0
"TVAS5|?_calculated_t","ACTB|60_calculated_n",0
"JA040725|?_calculated_t","BC018860|?_calculated_n",0
"JA040725|?_calculated_t","STRF6|?_calculated_n",0
"JA040725|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"JA040725|?_calculated_t","cytochrome_b|?_calculated_n",0
"JA040725|?_calculated_t","JA040725|?_calculated_n",1
"JA040725|?_calculated_t","TVAS5|?_calculated_n",0
"JA040725|?_calculated_t","AD_1|?_calculated_n",0
"JA040725|?_calculated_t","JA040723|?_calculated_n",0
"JA040725|?_calculated_t","MT-ND5|4540_calculated_n",0
"JA040725|?_calculated_t","ACTB|60_calculated_n",0
"OK/SW-cl.16|?_calculated_t","BC018860|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","STRF6|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","OK/SW-cl.16|?_calculated_n",1
"OK/SW-cl.16|?_calculated_t","cytochrome_b|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","JA040725|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","TVAS5|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","AD_1|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","JA040723|?_calculated_n",0
"OK/SW-cl.16|?_calculated_t","MT-ND5|4540_calculated_n",0
"OK/SW-cl.16|?_calculated_t","ACTB|60_calculated_n",0
"STRF6|?_calculated_t","BC018860|?_calculated_n",0
"STRF6|?_calculated_t","STRF6|?_calculated_n",1
"STRF6|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"STRF6|?_calculated_t","cytochrome_b|?_calculated_n",0
"STRF6|?_calculated_t","JA040725|?_calculated_n",0
"STRF6|?_calculated_t","TVAS5|?_calculated_n",0
"STRF6|?_calculated_t","AD_1|?_calculated_n",0
"STRF6|?_calculated_t","JA040723|?_calculated_n",0
"STRF6|?_calculated_t","MT-ND5|4540_calculated_n",0
"STRF6|?_calculated_t","ACTB|60_calculated_n",0
"BC018860|?_calculated_t","BC018860|?_calculated_n",1
"BC018860|?_calculated_t","STRF6|?_calculated_n",0
"BC018860|?_calculated_t","OK/SW-cl.16|?_calculated_n",0
"BC018860|?_calculated_t","cytochrome_b|?_calculated_n",0
"BC018860|?_calculated_t","JA040725|?_calculated_n",0
"BC018860|?_calculated_t","TVAS5|?_calculated_n",0
"BC018860|?_calculated_t","AD_1|?_calculated_n",0
"BC018860|?_calculated_t","JA040723|?_calculated_n",0
"BC018860|?_calculated_t","MT-ND5|4540_calculated_n",0
"BC018860|?_calculated_t","ACTB|60_calculated_n",0
